cust_id,customer_joining_date,acc_num,acc_status,rel_type,last_txn_date,branch_code,lien,od_limit,credit_score,gender,occupation,seg,risk_prof,kyc_status,aqb,dob,age,txn_count_last_month,total_txn_value,multi_account_holder,tenure_days
CUST101239,2015-05-25,8732806079599636,Active,Primary,2025-01-17,BR001,42268.62713811743,262334.10279250983,601,M,Accountant,HNI,High,Rejected,53866.686652510085,1946-06-11,79,3,68434.91,1,3650
CUST105021,2024-05-22,5150175689119959,Active,Secondary,2025-03-21,BR001,56690.838678506894,42735.08211696049,708,M,Software Developer,HNI,High,Rejected,25918.691986087702,1983-06-02,42,22,66613.6,1,365
CUST107681,2018-05-24,4786853457650365,Active,Joint,2025-04-29,BR001,6976.296287028738,49465.90945580649,560,M,Artist,Retail,High,Rejected,53151.199977726224,1977-06-03,48,16,84726.53,0,2555
CUST113931,2006-05-27,2259739206106802,Active,Secondary,2025-03-30,BR001,28924.23862703152,367176.9327479669,439,M,Artist,Corporate,Low,Pending,30327.568773820785,1984-06-01,41,15,25446.14,1,6935
CUST100708,2021-05-23,5610476037651865,Active,Joint,2025-05-19,BR001,3538.6210709596576,271681.09218648635,572,F,Scientist,HNI,Medium,Verified,77231.73922551695,1945-06-11,80,4,86022.29,0,1460
CUST103077,2016-05-24,6074954326211326,Active,Primary,2025-03-13,BR001,15340.410852093866,438968.0366408186,866,F,Doctor,HNI,Medium,Pending,94176.77624993668,1993-05-30,32,10,35176.75,1,3285
CUST110905,2020-05-23,1981450241756142,Active,Joint,2025-01-03,BR001,71582.7313131205,497986.6618459608,740,M,Engineer,Corporate,Low,Rejected,97433.3390413942,1989-05-31,36,16,26319.24,1,1825
CUST112647,2009-05-26,1971642191227321,Active,Joint,2025-04-28,BR001,84896.40954102478,110481.87295904776,689,M,Entrepreneur,Retail,Low,Rejected,93514.28756061822,1963-06-07,62,13,86917.89,0,5840
CUST111451,2015-05-25,9498126834009846,Active,Secondary,2025-03-28,BR001,78917.47807133835,102030.96577706654,400,F,Teacher,HNI,High,Rejected,27602.51257901636,1966-06-06,59,24,39277.83,0,3650
CUST106177,2009-05-26,1465126839158248,Active,Primary,2025-05-20,BR001,36712.563749843306,206470.5232032839,468,F,Engineer,Corporate,Low,Pending,66088.85013693734,1971-06-05,54,9,67941.83,1,5840
CUST110425,2005-05-27,4456691663045746,Active,Secondary,2025-04-28,BR001,60144.5444417012,43115.20933531289,604,F,Artist,Retail,Low,Rejected,98717.9423221876,1972-06-04,53,9,11732.99,0,7300
CUST107311,2012-05-25,4828998815769646,Active,Secondary,2025-02-28,BR001,9197.047830310046,485388.544061641,715,M,Scientist,HNI,Medium,Rejected,83349.86607116408,1985-06-01,40,6,46476.02,1,4745
CUST100976,2006-05-27,1327708469610169,Active,Joint,2025-05-20,BR001,53872.53233243322,116901.81738235828,812,F,Engineer,HNI,Medium,Verified,57115.69258535997,1997-05-29,28,7,58775.35,1,6935
CUST114712,2007-05-27,2364918301498740,Active,Joint,2025-02-04,BR001,75882.49277939275,430604.3990467807,624,F,Engineer,Corporate,Low,Verified,53956.51345776576,1970-06-05,55,9,84939.72,0,6570
CUST112117,2018-05-24,1290143393640637,Active,Primary,2025-05-03,BR001,18560.684921362124,287275.57208919915,786,M,Artist,Corporate,High,Verified,13063.063084150926,1952-06-09,73,26,97303.34,1,2555
CUST114200,2015-05-25,6500693178646207,Active,Primary,2025-03-03,BR001,63749.2451055941,181034.804697594,561,F,Artist,HNI,Low,Rejected,73909.06947668275,1990-05-31,35,22,75650.61,0,3650
CUST113228,2020-05-23,4326320482208067,Active,Secondary,2025-02-03,BR001,70388.11051113826,100694.39343092674,607,F,Accountant,Corporate,High,Pending,60693.24592248824,1953-06-09,72,26,58526.93,1,1825
CUST112379,2013-05-25,3270614346408447,Active,Secondary,2025-03-13,BR001,97053.85869536256,42833.4681386937,705,F,Scientist,Corporate,Medium,Rejected,52276.77843141574,1980-06-02,45,26,39223.47,1,4380
CUST109396,2011-05-26,5981731594298160,Active,Joint,2025-02-22,BR001,16780.26700669557,325062.9397120334,704,F,Doctor,HNI,Low,Rejected,18396.213115777064,2002-05-28,23,28,2215.2,0,5110
CUST102932,2022-05-23,7710344075947418,Active,Secondary,2025-01-08,BR001,96914.5450730604,70174.18350920294,715,M,Artist,HNI,High,Pending,70342.99720576219,1945-06-11,80,21,91427.96,1,1095
CUST112739,2005-05-27,9160703827205260,Active,Joint,2025-04-02,BR001,5879.067233596647,360170.7576734497,844,F,Doctor,Retail,Low,Rejected,84693.4900812913,1985-06-01,40,22,94737.33,0,7300
CUST109288,2005-05-27,3401339417105275,Active,Joint,2025-04-10,BR001,20216.083450234368,405059.0235579469,465,M,Scientist,HNI,Medium,Rejected,46139.09656671246,1946-06-11,79,22,80979.32,1,7300
CUST110829,2020-05-23,4403813108700997,Active,Joint,2025-04-01,BR001,14526.033587803233,393831.89913356287,300,F,Merchant,Retail,Medium,Rejected,25698.05667633332,1982-06-02,43,7,98609.41,0,1825
CUST103631,2024-05-22,8360463756067733,Active,Joint,2025-01-03,BR001,88449.5197710871,214469.99749619252,858,F,Doctor,HNI,High,Pending,34687.69516221294,1963-06-07,62,21,82134.05,1,365
CUST113797,2019-05-24,7221190429739110,Active,Primary,2025-04-18,BR001,38931.095460220735,223681.49608664785,647,F,Teacher,Retail,High,Pending,90150.06282092372,1955-06-09,70,21,2687.92,1,2190
CUST101449,2007-05-27,3944510877701107,Active,Secondary,2025-01-30,BR001,58317.620327467455,134929.90558879654,534,F,Software Developer,Retail,High,Verified,21139.044994017662,1978-06-03,47,10,27959.92,0,6570
CUST106061,2015-05-25,7419302523613450,Active,Secondary,2025-01-12,BR001,37751.04455418181,37829.98781422018,603,M,Doctor,HNI,High,Pending,69082.90228418774,1984-06-01,41,22,21325.71,1,3650
CUST112299,2017-05-24,5846249271824177,Active,Secondary,2025-02-15,BR001,79224.59759870316,221643.01145945635,637,F,Software Developer,HNI,High,Verified,31892.94466580177,1945-06-11,80,27,34382.54,0,2920
CUST109725,2019-05-24,5481766795189242,Active,Joint,2025-05-03,BR001,41675.15301780473,133933.6479777206,425,F,Teacher,HNI,High,Pending,12471.089352752548,1979-06-03,46,22,60877.17,1,2190
CUST110175,2017-05-24,6007322339327663,Active,Joint,2025-05-14,BR001,99999.37913399706,22488.38134716496,696,F,Artist,Retail,High,Pending,31825.699228765483,1969-06-05,56,14,91237.66,0,2920
CUST101595,2014-05-25,4391009777721600,Active,Primary,2025-02-07,BR001,18849.15030152769,140487.62811692274,872,F,Entrepreneur,Retail,High,Rejected,64840.21964816703,1957-06-08,68,2,56714.35,1,4015
CUST113935,2022-05-23,7611001765503315,Active,Secondary,2025-02-22,BR001,67207.60288777266,65749.84516321169,825,M,Farmer,Corporate,High,Rejected,22637.61890764396,1974-06-04,51,29,44777.1,0,1095
CUST113266,2013-05-25,2033595236352397,Active,Joint,2025-03-04,BR001,61167.65708766009,81055.53308635124,892,M,Accountant,Corporate,High,Verified,82837.62992681164,1946-06-11,79,15,33148.86,1,4380
CUST104165,2006-05-27,2561238076978114,Active,Joint,2025-04-28,BR001,80114.52901743402,29731.268860523407,444,F,Teacher,HNI,Low,Pending,63441.49573453267,2002-05-28,23,9,42986.42,1,6935
CUST105584,2022-05-23,4151307834326547,Active,Secondary,2025-01-20,BR001,88897.86674936283,185741.85494369757,437,F,Accountant,Corporate,High,Verified,49589.28508817149,1993-05-30,32,8,67293.79,1,1095
CUST103175,2018-05-24,1272119237705200,Active,Secondary,2025-02-14,BR001,21214.886061218214,26304.818309386097,532,F,Farmer,HNI,Medium,Rejected,66235.62977796813,2003-05-28,22,1,41009.95,0,2555
CUST110322,2016-05-24,3224381930208841,Active,Secondary,2025-03-23,BR001,99405.94875811358,219613.4860302245,546,F,Farmer,Corporate,Low,Pending,28022.785524251587,1980-06-02,45,13,49339.91,1,3285
CUST100535,2006-05-27,1837024792479952,Active,Primary,2025-02-19,BR001,52862.928973572445,422117.27842292347,594,F,Scientist,Retail,High,Rejected,63731.520768361006,2007-05-27,18,7,75821.38,0,6935
CUST101896,2024-05-22,1845186236300307,Active,Primary,2025-02-25,BR001,17725.951783181838,388785.7107754928,371,M,Entrepreneur,HNI,Medium,Pending,26876.80257333213,1966-06-06,59,1,76949.83,1,365
CUST105053,2006-05-27,7399355647773723,Active,Primary,2025-01-30,BR001,98665.54830923388,329038.59205710806,650,M,Merchant,Retail,Medium,Verified,45080.49903495296,1951-06-10,74,25,59613.82,1,6935
CUST108462,2017-05-24,4973533598644152,Active,Secondary,2025-04-27,BR001,27994.33678515182,282658.156856625,648,F,Scientist,Corporate,Low,Pending,80901.70859304952,1959-06-08,66,28,51664.56,0,2920
CUST101283,2021-05-23,6004434447194307,Active,Secondary,2025-03-27,BR001,35393.26831392043,92164.58984563495,373,M,Doctor,Corporate,High,Pending,14109.32602597228,1964-06-06,61,18,39373.91,1,1460
CUST103492,2009-05-26,5893913647356825,Active,Secondary,2025-05-16,BR001,18588.88968119837,24175.076341122454,880,F,Doctor,HNI,High,Verified,42396.08193379328,1992-05-30,33,23,2045.98,0,5840
CUST100476,2008-05-26,3020581103122785,Active,Primary,2025-01-24,BR001,72198.97076237963,31298.880876612668,700,F,Entrepreneur,HNI,Medium,Rejected,99831.9947677507,1966-06-06,59,2,56347.9,1,6205
CUST106487,2015-05-25,8166709335591674,Active,Primary,2025-03-30,BR001,88259.95636292953,43767.91013569928,338,F,Farmer,Retail,Medium,Pending,24280.861771114,1979-06-03,46,1,28696.06,1,3650
CUST107494,2007-05-27,4651584186789768,Active,Primary,2025-05-21,BR001,9377.503491638705,47541.43612815213,525,F,Software Developer,Corporate,High,Pending,52812.6728330608,1995-05-30,30,26,85355.42,1,6570
CUST107795,2005-05-27,9402459002136278,Active,Primary,2025-05-18,BR001,46940.79868117948,499596.7340252415,891,F,Entrepreneur,Retail,High,Verified,58124.33107885056,1993-05-30,32,20,14909.58,0,7300
CUST106403,2020-05-23,6330068846913533,Active,Secondary,2025-04-20,BR001,71886.94714603048,379679.5303292984,617,M,Doctor,Corporate,Low,Pending,53402.77128166107,1976-06-03,49,23,6581.85,1,1825
CUST114784,2008-05-26,1817294267188640,Active,Primary,2025-01-02,BR001,35668.13230637954,464307.6628692004,478,F,Merchant,Retail,Low,Pending,56164.58372373616,1989-05-31,36,17,85350.92,1,6205
CUST102679,2010-05-26,5250086540109365,Active,Joint,2025-01-03,BR001,11227.558782675373,283745.2845495334,439,F,Software Developer,Retail,Medium,Pending,80292.84994707082,1983-06-02,42,17,20679.4,1,5475
CUST111806,2011-05-26,4204810582114821,Active,Secondary,2025-04-16,BR001,43758.240335306495,454779.2809592561,855,F,Teacher,HNI,Medium,Verified,32135.57359062881,1983-06-02,42,5,83979.94,1,5110
CUST103405,2008-05-26,1396261658068007,Active,Primary,2025-02-23,BR001,34540.58577139527,359366.78620351566,447,M,Software Developer,Corporate,Medium,Rejected,58795.10675056325,1991-05-31,34,8,94056.63,1,6205
CUST103711,2010-05-26,9981021840188193,Active,Primary,2025-03-31,BR001,5526.549178800266,373014.0262421264,533,M,Merchant,HNI,Low,Rejected,16699.585942112033,1969-06-05,56,23,87223.41,1,5475
CUST113531,2019-05-24,8795334062443514,Active,Secondary,2025-03-24,BR001,31374.394088425623,256488.3194782193,662,M,Doctor,Retail,Medium,Verified,68415.88855622793,1957-06-08,68,12,62770.54,1,2190
CUST102321,2011-05-26,7579329372696362,Active,Secondary,2025-05-17,BR001,66459.70985870007,56817.37477604144,304,M,Doctor,HNI,High,Pending,45547.54546334115,1980-06-02,45,23,61742.37,1,5110
CUST101444,2020-05-23,2916352561431245,Active,Primary,2025-03-27,BR001,41222.63860087044,289475.3996640705,586,F,Artist,Corporate,Medium,Rejected,87189.18361639125,1980-06-02,45,16,32406.47,1,1825
CUST108261,2017-05-24,3999417913451830,Active,Primary,2025-04-23,BR001,40102.63692010861,99568.38960840416,560,M,Artist,Retail,Medium,Rejected,82263.38466484095,1967-06-06,58,28,71828.35,1,2920
CUST108965,2014-05-25,6672206443289505,Active,Joint,2025-03-07,BR001,91984.89165523287,197194.4222914611,537,F,Artist,Retail,Medium,Verified,63767.81578746178,1961-06-07,64,13,80639.62,1,4015
CUST107057,2019-05-24,9681622344777739,Active,Primary,2025-01-13,BR001,43745.78090492174,76209.49220852097,690,F,Accountant,Retail,Low,Verified,46407.81353829165,1948-06-10,77,5,45770.25,1,2190
CUST107324,2022-05-23,4356854612763384,Active,Primary,2025-02-22,BR001,40781.35403148639,193719.83797920804,828,M,Entrepreneur,Corporate,Low,Rejected,89105.41181651413,1998-05-29,27,25,7294.04,1,1095
CUST113447,2023-05-23,5268918807712526,Active,Primary,2025-01-07,BR001,5891.710081775547,400356.8647472981,698,M,Teacher,Retail,Medium,Verified,22955.856969780827,1985-06-01,40,20,30292.09,0,730
CUST104785,2019-05-24,7451492303881751,Active,Joint,2025-01-12,BR001,4049.39554878978,484449.0790186197,758,M,Entrepreneur,Retail,Low,Rejected,33665.89121918825,1981-06-02,44,14,86813.25,1,2190
CUST112835,2008-05-26,1393497119821773,Active,Secondary,2025-01-04,BR001,42954.094412220526,328731.26691740786,301,F,Engineer,Retail,Low,Verified,13145.003379017176,1971-06-05,54,10,52923.33,1,6205
CUST108353,2008-05-26,2618309066184364,Active,Primary,2025-03-24,BR001,58400.14856683629,168995.69335815893,686,F,Accountant,Corporate,Medium,Pending,69942.1620947048,1956-06-08,69,11,54623.03,1,6205
CUST114748,2020-05-23,2653676862687518,Active,Secondary,2025-01-06,BR001,62603.0538053726,32081.15137430622,386,F,Merchant,HNI,Medium,Pending,17286.264192677634,1952-06-09,73,23,16231.6,0,1825
CUST101423,2023-05-23,4171023309171452,Active,Secondary,2025-02-08,BR001,14661.427974625163,363106.0647658492,307,F,Software Developer,Retail,Medium,Pending,87215.48250230009,2001-05-28,24,22,90874.81,1,730
CUST112606,2005-05-27,1646407515229245,Active,Primary,2025-02-16,BR001,11375.813481885045,446042.7176823564,586,F,Farmer,Corporate,High,Verified,10409.904995321003,1948-06-10,77,9,57386.65,1,7300
CUST100453,2019-05-24,1230746992038906,Active,Joint,2025-03-31,BR001,27771.93967101757,275538.47947628563,771,F,Accountant,Corporate,High,Verified,16620.95904583407,1966-06-06,59,12,90599.97,1,2190
CUST106734,2007-05-27,5714906367986059,Active,Secondary,2025-04-12,BR001,88318.83406599362,154009.30556424175,303,M,Accountant,Corporate,Low,Verified,51177.11703862804,1976-06-03,49,18,36641.34,0,6570
CUST103922,2018-05-24,8141506920114956,Active,Joint,2025-01-04,BR001,6294.808599131041,204188.79839129656,815,M,Farmer,Retail,High,Pending,54926.20703778722,1951-06-10,74,9,57536.51,0,2555
CUST100980,2007-05-27,4897150472316766,Active,Secondary,2025-05-06,BR001,23881.25156025098,322559.9164579945,308,F,Entrepreneur,HNI,High,Verified,86309.4022653777,1964-06-06,61,16,55923.85,0,6570
CUST101516,2007-05-27,4934648980596611,Active,Secondary,2025-02-12,BR001,30380.52409014662,121912.36650652224,570,F,Scientist,Retail,Low,Verified,68684.53510260102,1969-06-05,56,17,75742.76,1,6570
CUST106870,2008-05-26,6430121360704950,Active,Primary,2025-05-10,BR001,10499.770293470025,156503.68540226427,778,F,Doctor,Corporate,Low,Pending,73848.20067892809,1972-06-04,53,25,47512.4,1,6205
CUST110016,2009-05-26,5459290082661603,Active,Primary,2025-02-18,BR001,15804.991569470762,70857.55486906014,545,M,Artist,HNI,Medium,Rejected,60070.440810100445,1976-06-03,49,19,17999.12,1,5840
CUST113194,2011-05-26,7741309320850805,Active,Primary,2025-03-18,BR001,1482.7221068815177,339074.85307314264,394,M,Merchant,Corporate,Medium,Verified,58911.562925537626,1964-06-06,61,17,98166.73,1,5110
CUST102041,2024-05-22,3351423625031927,Active,Primary,2025-03-14,BR001,11512.791547695855,413952.77382932976,323,M,Scientist,Retail,Low,Pending,63734.943539287895,2006-05-27,19,23,16959.28,1,365
CUST108018,2012-05-25,1878687387790914,Active,Secondary,2025-01-22,BR001,17984.537393939958,430930.6504076629,762,F,Merchant,Retail,High,Verified,57472.065774816045,1951-06-10,74,5,82307.38,0,4745
CUST105991,2020-05-23,8255845644432317,Active,Joint,2025-01-07,BR001,65896.8425583392,23062.165490770192,780,M,Software Developer,Corporate,Medium,Rejected,62011.2785903015,2007-05-27,18,25,8399.33,0,1825
CUST109662,2011-05-26,9069219554857314,Active,Secondary,2025-04-13,BR001,63602.24455773652,280800.22644611064,735,F,Accountant,Retail,Low,Pending,42869.78781274748,1945-06-11,80,26,50148.95,1,5110
CUST101527,2023-05-23,3863435253366570,Active,Primary,2025-03-19,BR001,28605.562614330654,266691.3465211475,492,F,Artist,Retail,Medium,Pending,58878.97032371166,1998-05-29,27,7,68807.27,0,730
CUST100390,2019-05-24,8596899460266931,Active,Primary,2025-05-03,BR001,42094.29909673388,94097.82344362426,460,F,Artist,Corporate,Medium,Rejected,62191.73154476086,1979-06-03,46,6,13884.55,0,2190
CUST106536,2020-05-23,9871849672239473,Active,Joint,2025-02-14,BR001,63929.24537917166,430700.1892114694,532,F,Engineer,Corporate,Medium,Pending,56936.1858210499,1976-06-03,49,30,56365.58,1,1825
CUST111112,2023-05-23,2517467472678273,Active,Secondary,2025-03-10,BR001,43128.75137297629,32629.01773870605,739,M,Doctor,Corporate,Medium,Verified,53881.74597980319,1985-06-01,40,13,83121.96,0,730
CUST106205,2014-05-25,5356638438652888,Active,Joint,2025-01-24,BR001,99474.62299730562,15060.99665056185,817,F,Accountant,HNI,Medium,Verified,86093.44424446387,1992-05-30,33,25,3748.11,1,4015
CUST100164,2019-05-24,5233878695293378,Active,Joint,2025-03-03,BR001,61406.7118093184,456257.48493108177,411,M,Engineer,Retail,Low,Rejected,63542.8281871763,2000-05-28,25,2,46479.17,1,2190
CUST103319,2013-05-25,1490891669895774,Active,Secondary,2025-04-04,BR001,87050.36238481915,405520.4400699382,858,F,Merchant,HNI,Medium,Verified,99956.96630046728,1962-06-07,63,8,51529.62,1,4380
CUST101050,2011-05-26,5266416352531374,Active,Primary,2025-03-01,BR001,67626.18867420903,34721.97350066039,890,F,Merchant,HNI,Low,Pending,89005.1774640107,1987-06-01,38,25,68083.87,1,5110
CUST105186,2013-05-25,7515535189168950,Active,Secondary,2025-03-04,BR001,88255.17137179484,234368.2365056277,571,M,Doctor,Corporate,High,Rejected,93620.06475592215,1984-06-01,41,11,9173.0,1,4380
CUST100869,2018-05-24,2713421182453080,Active,Secondary,2025-01-23,BR001,37003.323770561445,107847.32462199124,858,F,Farmer,Corporate,Low,Pending,31083.219437746284,1998-05-29,27,28,34393.65,1,2555
CUST101135,2012-05-25,9840546152245365,Active,Joint,2025-04-22,BR001,86463.56280447778,383892.0640197534,484,M,Merchant,HNI,Low,Rejected,70417.06815823016,1954-06-09,71,2,66542.33,1,4745
CUST106162,2018-05-24,7618831519714821,Active,Joint,2025-03-14,BR001,37778.66027610636,159919.3134325202,789,F,Artist,Corporate,High,Verified,93437.69813240196,1947-06-11,78,10,68844.89,1,2555
CUST104897,2013-05-25,5160373397301448,Active,Primary,2025-04-19,BR001,45338.06909768685,23622.660068633595,331,F,Teacher,Corporate,Low,Rejected,93710.95428146837,1949-06-10,76,18,81879.78,0,4380
CUST105382,2019-05-24,2989489149891018,Active,Secondary,2025-02-20,BR001,53541.63449217066,168171.44396268952,685,F,Software Developer,HNI,Medium,Pending,40826.68947587093,1953-06-09,72,28,58886.4,1,2190
CUST114928,2018-05-24,8239808889716468,Active,Secondary,2025-01-14,BR001,43860.1616776701,493064.9654448579,346,M,Farmer,Retail,Low,Rejected,47222.85795064996,2004-05-27,21,20,38684.69,1,2555
CUST109097,2024-05-22,4591286960869832,Active,Secondary,2025-03-13,BR001,73205.80260965574,67953.07167200683,607,F,Scientist,HNI,Low,Pending,42789.54536573328,2001-05-28,24,27,10751.06,1,365
CUST113721,2011-05-26,3078603541592918,Active,Secondary,2025-01-23,BR001,37450.69893673758,482835.3459113811,369,F,Scientist,HNI,High,Pending,75700.85734320304,1962-06-07,63,30,19570.34,1,5110
CUST105492,2023-05-23,7644502319587248,Active,Primary,2025-04-13,BR001,20933.16705056492,385028.4385790082,471,F,Farmer,Corporate,High,Pending,26329.04052644432,2000-05-28,25,13,70173.78,1,730
CUST113101,2010-05-26,4833753036508162,Active,Secondary,2025-01-15,BR001,90369.63187449065,131822.99657993036,607,F,Software Developer,Retail,Low,Verified,33780.027574722495,1980-06-02,45,6,22757.02,0,5475
CUST113285,2015-05-25,5945185979310844,Active,Primary,2025-02-28,BR001,8347.60429653666,60077.7826023193,816,F,Farmer,HNI,High,Verified,50653.64164049348,1978-06-03,47,28,25101.59,1,3650
CUST113031,2016-05-24,7528708943371778,Active,Secondary,2025-05-11,BR001,95022.26016520608,240973.80620748995,685,M,Merchant,Retail,High,Rejected,68172.62062282927,1972-06-04,53,7,99054.65,1,3285
CUST111716,2011-05-26,1895270742363060,Active,Secondary,2025-01-23,BR001,85137.42791987547,422460.3083738545,530,M,Farmer,Corporate,High,Verified,39422.04258428057,1990-05-31,35,20,95109.56,1,5110
CUST114088,2005-05-27,4239412631850471,Active,Secondary,2025-03-05,BR001,76744.63890904313,136013.47816674088,803,M,Merchant,HNI,Low,Rejected,57008.31588195832,1953-06-09,72,11,6600.0,1,7300
CUST109716,2014-05-25,7370020065733754,Active,Secondary,2025-03-03,BR001,59962.662005275066,433879.7988375545,317,F,Artist,HNI,Medium,Rejected,16937.084169394286,2001-05-28,24,16,69452.39,1,4015
CUST101340,2016-05-24,2043303542526767,Active,Joint,2025-05-05,BR001,58029.85855028361,372165.39551617904,702,F,Artist,Retail,Medium,Rejected,36721.03385250869,1970-06-05,55,26,76952.09,1,3285
CUST105799,2007-05-27,8634574171396082,Active,Joint,2025-04-08,BR001,7161.247004556292,485049.268477433,893,M,Entrepreneur,Retail,Medium,Rejected,86858.59013957162,1997-05-29,28,29,45259.8,1,6570
CUST111736,2008-05-26,2438319777222180,Active,Joint,2025-04-28,BR001,40437.37167052872,134580.53530379065,542,M,Artist,Retail,High,Rejected,53342.72345848919,1986-06-01,39,18,35319.43,1,6205
CUST103636,2009-05-26,5400654161558808,Active,Secondary,2025-04-29,BR001,76081.24074271273,164683.55171883886,512,M,Teacher,HNI,Low,Rejected,20239.577765847724,1975-06-04,50,29,41905.86,1,5840
CUST100195,2015-05-25,2405528652973941,Active,Primary,2025-05-07,BR001,13053.46070362019,272084.2692219971,827,F,Farmer,HNI,High,Verified,68383.46633001258,1976-06-03,49,14,31971.08,0,3650
CUST103504,2012-05-25,9602072190619525,Active,Secondary,2025-01-27,BR001,38226.54613574429,461467.574783598,817,M,Software Developer,Corporate,Low,Pending,56198.75461836167,1973-06-04,52,2,10551.36,1,4745
CUST110321,2019-05-24,9496955467568941,Active,Primary,2025-03-06,BR001,51433.75084975255,88642.06110238674,628,F,Scientist,Corporate,Low,Verified,31638.826945852918,1956-06-08,69,18,79432.74,1,2190
CUST109707,2023-05-23,8746546629578703,Active,Secondary,2025-04-05,BR001,14380.194939301771,363324.3814301224,369,F,Accountant,Retail,Medium,Rejected,73043.15705984762,2000-05-28,25,1,2840.96,1,730
CUST100369,2018-05-24,9213907963752962,Active,Primary,2025-05-10,BR001,81208.0214605971,380153.2890927471,861,F,Entrepreneur,Corporate,Low,Verified,83074.36979463468,1985-06-01,40,11,18482.28,1,2555
